Letter_n,n,max_n,Letter_n+1,Freq
म्,4,5,य,3
य,5,5,-,220
ष,3,4,य,1
य,4,4,-,210
अ,1,7,क्,1
क्,2,7,ष,4
ष,3,7,य,1
य,4,7,पा,3
पा,5,7,त्,2
त्,6,7,र,25
र,7,7,-,88
ष,3,4,र,2
क्,2,4,षां,2
षां,3,4,श,1
श,4,4,-,90
क्,2,4,षि,18
षि,3,4,त,12
क्,2,3,स,5
स,3,3,-,115
क्,2,4,स,4
स,3,4,र,18
अ,1,3,क,1
क,2,3,ड़,7
अ,1,4,क,1
क,2,4,ड़,9
ड़,3,4,न,3
अ,1,3,खं,1
खं,2,3,ड,2
ड,3,3,-,28
अ,1,4,खं,1
खं,2,4,ड,2
ड,3,4,ता,2
ता,4,4,-,240
अ,1,5,खं,1
खं,2,5,ड,1
ड,3,5,पा,1
पा,4,5,ठ,2
ठ,5,5,-,13
अ,1,4,ख,7
ख,2,4,ण्,2
ण्,3,4,ड,6
ड,4,4,-,55
अ,1,5,ख,1
ख,2,5,ण्,1
ण्,3,5,ड,4
ड,4,5,ता,2
ख,2,4,बा,3
बा,3,4,र,12
बा,3,4,री,9
ख,2,4,र,9
र,3,4,ती,21
ती,4,4,-,167
र,3,4,ने,29
ने,4,4,-,325
ख,2,4,रो,1
रो,3,4,ट,1
ट,4,4,-,129
अ,1,3,खा,7
खा,2,3,ड़ा,2
ड़ा,3,3,-,32
खा,2,3,ड़े,1
ड़े,3,3,-,15
खा,2,3,ड़ों,1
ड़ों,3,3,-,15
खा,2,3,डे़,1
डे़,3,3,-,14
खा,2,3,ड़ा,2
ड़ा,3,3,-,61
अ,1,5,खा,1
खा,2,5,ड़े,1
ड़े,3,5,दा,1
दा,4,5,रों,28
खा,2,3,ड़ों,1
ड़ों,3,3,-,25
खि,2,3,ल,3
अ,1,4,खि,1
खि,2,4,ले,1
ले,3,4,श,2
-,0,2,खू,5
खू,1,2,न,2
न,2,2,-,50
अ,1,4,ख्,1
ख्,2,4,त,1
त,3,4,री,8
अ,1,5,ख्,1
ख्,2,5,ति,2
ति,3,5,या,6
या,4,5,र,4
अ,1,3,ग,6
ग,2,3,म,7
ग,2,3,र,8
अ,1,6,ग,1
र,3,6,ब,2
ब,4,6,त्,1
त्,5,6,ती,1
ती,6,6,-,17
ग,2,3,ला,7
ग,2,3,ली,10
ग,2,3,ले,5
ग,2,3,वा,4
वा,3,3,-,81
अ,1,5,ग,3
ग,2,5,वा,6
वा,3,5,क,30
क,4,5,र,160
अ,1,4,ग,2
ग,2,4,स्,1
स्,3,4,त,12
ग,2,5,स्,2
स्,3,5,त्,3
त्,4,5,य,8
अ,1,3,गा,4
गा,2,3,था,1
था,3,3,-,9
गा,2,3,ह,2
ह,3,3,-,43
अ,1,4,गु,3
गु,2,4,आ,1
आ,3,4,ई,2
अ,1,3,गु,1
गु,2,3,वा,1
गु,2,4,वा,2
वा,3,4,यी,8
यी,4,4,-,36
अ,1,3,ग्,2
ग्,2,3,नि,1
अ,1,5,ग्,16
ग्,2,5,नि,6
नि,3,5,कां,2
कां,4,5,ड,3
ड,5,5,-,45
कां,4,5,डों,3
डों,5,5,-,7
अ,1,6,ग्,8
ग्,2,6,नि,6
नि,3,6,का,1
का,4,6,ण्,2
ण्,5,6,ड,6
ड,6,6,-,17
नि,3,5,दे,1
दे,4,5,व,16
व,5,5,-,82
नि,3,5,प,1
प,4,5,थ,3
थ,5,5,-,40
अ,1,7,ग्,3
ग्,2,7,नि,2
नि,3,7,प,1
प,4,7,री,2
री,5,7,क्,2
क्,6,7,षा,6
षा,7,7,-,6
नि,3,6,पी,2
पी,4,6,ड़ि,2
ड़ि,5,6,त,1
ड़ि,5,6,तों,1
तों,6,6,-,9
नि,3,6,रो,1
रो,4,6,ध,2
ध,5,6,क,5
नि,3,5,रो,1
रो,4,5,धी,8
धी,5,5,-,13
नि,3,6,शा,1
शा,4,6,म,1
म,5,6,क,24
नि,3,5,सा,1
सा,4,5,र,4
नि,3,7,सु,1
सु,4,7,र,2
र,5,7,क्,2
नि,3,6,हो,1
हो,4,6,त्,1
ग्,2,7,ने,2
ने,3,7,या,2
या,4,7,स्,2
स्,5,7,त्,11
ग्,2,3,र,2
अ,1,4,ग्,4
ग्,2,4,र,10
र,3,4,णी,2
णी,4,4,-,22
ग्,2,5,र,18
र,3,5,दू,2
दू,4,5,त,2
र,3,5,ले,4
ले,4,5,ख,3
ख,5,5,-,7
र,3,5,व,7
व,4,5,न,22
ग्,2,6,र,5
र,3,6,सा,4
सा,4,6,र,2
सा,4,6,रि,2
रि,5,6,त,11
र,3,5,ह,12
ह,4,5,ण,6
ण,5,5,-,167
ह,4,5,रि,1
रि,5,5,-,8
ह,4,5,री,2
ग्,2,4,रि,2
ग्,2,4,रें,2
रें,3,4,जी,1
अ,1,3,घा,1
घा,2,3,ते,1
ते,3,3,-,338
अ,1,3,घो,2
घो,2,3,र,1
अ,1,4,घो,1
घो,2,4,षि,1
अ,1,3,चं,2
चं,2,3,भा,1
भा,3,3,-,3
अ,1,4,चं,1
चं,2,4,भि,1
भि,3,4,त,3
च,2,6,ला,1
ला,3,6,धि,2
धि,4,6,का,18
का,5,6,री,25
अ,1,4,च,1
च,2,4,र,5
र,3,4,ज,2
अ,1,4,चा,1
चा,2,4,न,1
न,3,4,क,5
क,4,4,-,245
अ,1,3,चा,1
चा,2,3,र,5
अ,1,3,चू,1
चू,2,3,क,1
क,3,3,-,275
अ,1,3,चे,1
चे,2,3,त,2
अ,1,6,चे,1
चे,2,6,ता,1
ता,3,6,व,2
व,4,6,स्,15
स्,5,6,था,14
था,6,6,-,14
अ,1,4,च्,2
च्,2,4,छ,5
छ,3,4,त,1
अ,1,3,च्,5
च्,2,3,छा,5
अ,1,5,च्,3
च्,2,5,छा,4
छा,3,5,इ,2
इ,4,5,यों,8
यों,5,5,-,207
च्,2,4,छा,4
छा,3,4,ई,2
च्,2,3,छी,3
छी,3,3,-,5
च्,2,3,छे,3
च्,2,3,छों,2
छों,3,3,-,2
अ,1,3,छू,4
छू,2,3,त,1
छू,2,3,ता,1
छू,2,3,ती,1
ती,3,3,-,270
छू,2,3,ते,1
अ,1,3,जं,1
जं,2,3,ता,1
अ,1,4,ज,10
ज,2,4,ग,3
ग,3,4,र,5
ग,3,4,रों,4
ज,2,4,न,3
न,3,4,वी,1
वी,4,4,-,19
ज,2,4,न्,4
न्,3,4,मा,1
मा,4,4,-,36
न्,3,4,मी,1
न्,3,4,मे,1
मे,4,4,-,10
ज,2,4,म,1
म,3,4,ते,1
ते,4,4,-,174
अ,1,5,ज,3
ज,2,5,मा,7
मा,3,5,इ,4
इ,4,5,श,3
श,5,5,-,39
अ,1,6,ज,1
ज,2,6,मा,1
मा,3,6,न,3
न,4,6,ती,1
ती,5,6,य,3
ज,2,4,मा,12
मा,3,4,या,10
अ,1,3,ज,2
ज,2,3,य,3
य,3,3,-,118
ज,2,5,वा,2
वा,3,5,इ,2
इ,4,5,न,6
अ,1,6,जा,1
जा,2,6,त,1
त,3,6,श,1
श,4,6,त्,1
त्,5,6,रु,1
रु,6,6,-,1
अ,1,4,जा,1
जा,2,4,य,4
य,3,4,ब,2
ब,4,4,-,27
अ,1,3,जी,5
जी,2,3,ज,2
जी,2,3,त,1
जी,2,3,ब,1
ब,3,3,-,61
जी,2,3,बो,1
बो,3,3,-,3
अ,1,4,जै,1
जै,2,4,वि,1
वि,3,4,क,3
अ,1,6,ज्,1
ज्,2,6,ञा,4
ञा,3,6,त,1
त,4,6,वा,4
अ,1,4,ज्,4
ज्,2,4,ञा,9
ञा,3,4,तों,1
तों,4,4,-,62
ञा,3,4,न,3
अ,1,5,ज्,1
ज्,2,5,ञा,12
ञा,3,5,न,1
न,4,5,ता,15
अ,1,7,ज्,1
ज्,2,7,ञा,1
ञा,3,7,न,1
न,4,7,ता,1
ता,5,7,व,2
व,6,7,श,4
श,7,7,-,9
अ,1,4,ट,10
ट,2,4,क,58
क,3,4,ने,35
क,3,4,ल,10
अ,1,6,ट,1
